#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 669: North Lost Trail, CO
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                           
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation  
# Precipitation Increment             Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                   
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches             N/A           PRCPSA        Snow adjusted total preciptation      
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# North Lost Trail (669) 
# Colorado  SNOTEL Site - 9200 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 5, 2020 11:28:55 AM GMT-08:00
#
Date,North Lost Trail (669) Precipitation Accumulation (in) Start of Day Values,North Lost Trail (669) Precipitation Increment (in),North Lost Trail (669) Precipitation Increment - Snow-adj (in)
1990-09-13,25.4,0.00,0.00
1990-09-14,25.4,0.00,0.00
1990-09-15,25.4,0.00,0.00
1990-09-16,25.4,0.10,0.10
1990-09-17,25.5,0.30,0.30
1990-09-18,25.8,0.40,0.40
1990-09-19,26.2,0.10,0.10
1990-09-20,26.3,0.00,0.00
1990-09-21,26.3,0.20,0.20
1990-09-22,26.5,0.00,0.00
1990-09-23,26.5,0.00,0.00
1990-09-24,26.5,0.00,0.00
1990-09-25,26.5,0.00,0.00
1990-09-26,26.5,0.00,0.00
1990-09-27,26.5,0.30,0.30
1990-09-28,26.8,0.10,0.10
1990-09-29,26.9,0.00,0.00
1990-09-30,26.9,0.00,0.00
1990-10-01,0.0,0.10,0.10
1990-10-02,0.1,0.90,0.90
1990-10-03,1.0,0.00,0.00
1990-10-04,1.0,0.00,0.00
1990-10-05,1.0,0.10,0.10
1990-10-06,1.1,0.10,0.10
1990-10-07,1.2,0.90,0.90
1990-10-08,2.1,0.20,0.20
1990-10-09,2.3,0.10,0.10
1990-10-10,2.4,0.00,0.00
1990-10-11,2.4,0.00,0.00
1990-10-12,2.4,0.00,0.00
1990-10-13,2.4,0.00,0.00
1990-10-14,2.4,0.00,0.00
1990-10-15,2.4,0.00,0.00
1990-10-16,2.4,0.00,0.00
1990-10-17,2.4,0.00,0.00
1990-10-18,2.4,0.10,0.10
1990-10-19,2.5,0.90,0.90
1990-10-20,3.4,0.60,0.60
1990-10-21,4.0,0.00,0.00
1990-10-22,4.0,0.10,0.10
1990-10-23,4.1,0.00,0.00
1990-10-24,4.1,0.00,0.00
1990-10-25,4.1,0.00,0.00
1990-10-26,4.1,0.00,0.00
1990-10-27,4.1,0.00,0.00
1990-10-28,4.1,0.00,0.00
1990-10-29,4.1,0.00,0.00
1990-10-30,4.1,0.00,0.00
1990-10-31,4.1,0.10,0.10
1990-11-01,4.2,0.30,0.30
1990-11-02,4.5,0.60,0.60
1990-11-03,5.1,0.10,0.10
1990-11-04,5.2,0.00,0.00
1990-11-05,5.2,0.60,0.60
1990-11-06,5.8,0.20,0.20
1990-11-07,6.0,0.00,0.00
1990-11-08,6.0,0.10,0.10
1990-11-09,6.1,0.00,0.00
1990-11-10,6.1,0.00,0.00
1990-11-11,6.1,0.00,0.00
1990-11-12,6.1,0.00,0.00
1990-11-13,6.1,0.00,0.00
1990-11-14,6.1,0.00,0.00
1990-11-15,6.1,0.00,0.00
1990-11-16,6.1,0.00,0.00
1990-11-17,6.1,0.10,0.10
1990-11-18,6.2,0.00,0.00
1990-11-19,6.2,0.00,0.00
1990-11-20,6.2,0.40,0.40
1990-11-21,6.6,0.00,0.00
1990-11-22,6.6,0.00,0.00
1990-11-23,6.6,0.10,0.10
1990-11-24,6.7,0.00,0.00
1990-11-25,6.7,0.10,0.10
1990-11-26,6.8,0.60,0.70
1990-11-27,7.4,0.10,0.10
1990-11-28,7.5,0.00,0.00
1990-11-29,7.5,0.10,0.10
1990-11-30,7.6,0.00,0.00
1990-12-01,7.6,0.00,0.00
1990-12-02,7.6,0.00,0.00
1990-12-03,7.6,0.00,0.00
1990-12-04,7.6,0.00,0.00
1990-12-05,7.6,0.00,0.00
1990-12-06,7.6,0.00,0.00
1990-12-07,7.6,0.00,0.00
1990-12-08,7.6,0.00,0.00
1990-12-09,7.6,0.00,0.00
1990-12-10,7.6,0.00,0.20
1990-12-11,7.6,0.10,0.10
1990-12-12,7.7,0.30,0.30
1990-12-13,8.0,0.50,0.50
1990-12-14,8.5,0.00,0.00
1990-12-15,8.5,0.00,0.00
1990-12-16,8.5,0.20,0.20
1990-12-17,8.7,0.00,0.00
1990-12-18,8.7,0.10,0.10
1990-12-19,8.8,0.50,0.50
1990-12-20,9.3,0.60,0.70
1990-12-21,9.9,0.10,0.10
1990-12-22,10.0,0.10,0.10
1990-12-23,10.1,0.00,0.00
1990-12-24,10.1,0.00,0.20
1990-12-25,10.1,0.10,0.10
1990-12-26,10.2,0.00,0.10
1990-12-27,10.2,0.10,0.10
1990-12-28,10.3,0.20,0.20
1990-12-29,10.5,0.30,0.30
1990-12-30,10.8,0.10,0.10
1990-12-31,10.9,0.00,0.00
1991-01-01,10.9,0.00,0.00
1991-01-02,10.9,0.00,0.00
1991-01-03,10.9,0.10,0.10
1991-01-04,11.0,0.90,0.90
1991-01-05,11.9,0.00,0.10
1991-01-06,11.9,0.10,0.10
1991-01-07,12.0,0.10,0.20
1991-01-08,12.1,0.00,0.10
1991-01-09,12.1,0.00,0.10
1991-01-10,12.1,0.10,0.10
1991-01-11,12.2,0.00,0.00
1991-01-12,12.2,0.10,0.10
1991-01-13,12.3,0.30,0.30
1991-01-14,12.6,0.00,0.00
1991-01-15,12.6,0.20,0.20
1991-01-16,12.8,0.00,0.00
1991-01-17,12.8,0.00,0.00
1991-01-18,12.8,0.00,0.10
1991-01-19,12.8,0.10,0.20
1991-01-20,12.9,0.00,0.30
1991-01-21,12.9,0.00,0.20
1991-01-22,12.9,0.00,0.20
1991-01-23,12.9,0.00,0.20
1991-01-24,12.9,0.00,0.00
1991-01-25,12.9,0.00,0.00
1991-01-26,12.9,0.10,0.10
1991-01-27,13.0,0.10,0.10
1991-01-28,13.1,0.10,0.10
1991-01-29,13.2,0.00,0.10
1991-01-30,13.2,0.00,0.00
1991-01-31,13.2,0.10,0.10
1991-02-01,13.3,0.00,0.00
1991-02-02,13.3,0.00,0.00
1991-02-03,13.3,0.00,0.10
1991-02-04,13.3,0.00,0.10
1991-02-05,13.3,0.00,0.00
1991-02-06,13.3,0.00,0.00
1991-02-07,13.3,0.00,0.00
1991-02-08,13.3,0.00,0.20
1991-02-09,13.3,0.00,0.00
1991-02-10,13.3,0.00,0.00
1991-02-11,13.3,0.00,0.00
1991-02-12,13.3,0.10,0.10
1991-02-13,13.4,0.20,0.30
1991-02-14,13.6,0.00,0.00
1991-02-15,13.6,0.00,0.00
1991-02-16,13.6,0.70,0.70
1991-02-17,14.3,0.50,0.70
1991-02-18,14.8,0.00,0.00
1991-02-19,14.8,0.00,0.00
1991-02-20,14.8,0.00,0.00
1991-02-21,14.8,0.00,0.00
1991-02-22,14.8,0.00,0.10
1991-02-23,14.8,0.00,0.00
1991-02-24,14.8,0.00,0.30
1991-02-25,14.8,0.00,0.00
1991-02-26,14.8,0.00,0.00
1991-02-27,14.8,0.00,0.10
1991-02-28,14.8,0.50,0.50
1991-03-01,15.3,0.70,0.90
1991-03-02,16.0,0.30,0.50
1991-03-03,16.3,0.10,0.10
1991-03-04,16.4,0.40,0.40
1991-03-05,16.8,0.40,0.50
1991-03-06,17.2,0.00,0.00
1991-03-07,17.2,0.00,0.00
1991-03-08,17.2,0.00,0.00
1991-03-09,17.2,0.10,0.10
1991-03-10,17.3,0.70,0.70
1991-03-11,18.0,0.50,0.90
1991-03-12,18.5,0.10,0.10
1991-03-13,18.6,0.00,0.10
1991-03-14,18.6,0.00,0.10
1991-03-15,18.6,0.10,0.10
1991-03-16,18.7,0.00,0.10
1991-03-17,18.7,0.00,0.00
1991-03-18,18.7,0.10,0.10
1991-03-19,18.8,0.30,0.30
1991-03-20,19.1,0.10,0.30
1991-03-21,19.2,0.30,0.30
1991-03-22,19.5,0.30,0.30
1991-03-23,19.8,0.10,0.10
1991-03-24,19.9,0.00,0.00
1991-03-25,19.9,0.00,0.00
1991-03-26,19.9,0.40,0.70
1991-03-27,20.3,0.00,0.10
1991-03-28,20.3,0.10,0.10
1991-03-29,20.4,0.40,0.40
1991-03-30,20.8,0.10,0.10
1991-03-31,20.9,0.10,0.10
1991-04-01,21.0,0.30,0.30
1991-04-02,21.3,0.40,0.40
1991-04-03,21.7,0.10,0.20
1991-04-04,21.8,0.10,0.10
1991-04-05,21.9,0.00,0.00
1991-04-06,21.9,0.00,0.00
1991-04-07,21.9,0.10,0.10
1991-04-08,22.0,0.00,0.00
1991-04-09,22.0,0.30,0.30
1991-04-10,22.3,0.30,0.30
1991-04-11,22.6,0.20,0.30
1991-04-12,22.8,0.20,0.20
1991-04-13,23.0,0.10,0.10
1991-04-14,23.1,0.20,0.20
1991-04-15,23.3,0.10,0.10
1991-04-16,23.4,0.00,0.00
1991-04-17,23.4,0.00,0.00
1991-04-18,23.4,0.00,0.00
1991-04-19,23.4,0.00,0.00
1991-04-20,23.4,0.00,0.00
1991-04-21,23.4,0.10,0.20
1991-04-22,23.5,0.30,0.30
1991-04-23,23.8,0.20,0.20
1991-04-24,24.0,0.00,0.00
1991-04-25,24.0,0.30,0.30
1991-04-26,24.3,0.30,0.50
1991-04-27,24.6,0.30,0.30
1991-04-28,24.9,0.30,0.30
1991-04-29,25.2,0.20,0.20
1991-04-30,25.4,0.10,0.10
1991-05-01,25.5,0.10,0.10
1991-05-02,25.6,0.00,0.00
1991-05-03,25.6,0.00,0.00
1991-05-04,25.6,0.00,0.00
1991-05-05,25.6,0.00,0.00
1991-05-06,25.6,0.00,0.00
1991-05-07,25.6,0.00,0.00
1991-05-08,25.6,0.00,0.00
1991-05-09,25.6,0.00,0.00
1991-05-10,25.6,0.00,0.00
1991-05-11,25.6,0.00,0.00
1991-05-12,25.6,0.00,0.00
1991-05-13,25.6,0.00,0.00
1991-05-14,25.6,0.00,0.00
1991-05-15,25.6,0.70,0.80
1991-05-16,26.3,0.00,0.00
1991-05-17,26.3,0.10,0.10
1991-05-18,26.4,0.00,0.00
1991-05-19,26.4,0.00,0.00
1991-05-20,26.4,0.00,0.00
1991-05-21,26.4,0.40,0.40
1991-05-22,26.8,0.00,0.00
1991-05-23,26.8,0.10,0.10
1991-05-24,26.9,0.00,0.00
1991-05-25,26.9,0.00,0.00
1991-05-26,26.9,0.00,0.00
1991-05-27,26.9,0.00,0.00
1991-05-28,26.9,0.00,0.00
1991-05-29,26.9,0.00,0.00
1991-05-30,26.9,0.00,0.00
1991-05-31,26.9,0.00,0.00
1991-06-01,26.9,0.30,0.30
1991-06-02,27.2,0.40,0.40
1991-06-03,27.6,0.50,0.50
1991-06-04,28.1,0.10,0.10
1991-06-05,28.2,0.20,0.20
1991-06-06,28.4,0.00,0.00
1991-06-07,28.4,0.00,0.00
1991-06-08,28.4,0.00,0.00
1991-06-09,28.4,0.00,0.00
1991-06-10,28.4,0.00,0.00
1991-06-11,28.4,0.00,0.00
1991-06-12,28.4,0.30,0.30
1991-06-13,28.7,0.10,0.10
1991-06-14,28.8,0.10,0.10
1991-06-15,28.9,0.00,0.00
1991-06-16,28.9,0.00,0.00
1991-06-17,28.9,0.00,0.00
1991-06-18,28.9,0.00,0.00
1991-06-19,28.9,0.00,0.00
1991-06-20,28.9,0.00,0.00
1991-06-21,28.9,0.00,0.00
1991-06-22,28.9,0.00,0.00
1991-06-23,28.9,0.00,0.00
1991-06-24,28.9,0.00,0.00
1991-06-25,28.9,0.00,0.00
1991-06-26,28.9,0.00,0.00
1991-06-27,28.9,0.00,0.00
1991-06-28,28.9,0.00,0.00
1991-06-29,28.9,0.00,0.00
1991-06-30,28.9,0.00,0.00
1991-07-01,28.9,0.00,0.00
1991-07-02,28.9,0.00,0.00
1991-07-03,28.9,0.00,0.00
1991-07-04,28.9,0.00,0.00
1991-07-05,28.9,0.00,0.00
1991-07-06,28.9,0.00,0.00
1991-07-07,28.9,0.00,0.00
1991-07-08,28.9,0.30,0.30
1991-07-09,29.2,0.10,0.10
1991-07-10,29.3,0.00,0.00
1991-07-11,29.3,0.00,0.00
1991-07-12,29.3,0.00,0.00
1991-07-13,29.3,0.00,0.00
1991-07-14,29.3,0.00,0.00
1991-07-15,29.3,0.30,0.30
1991-07-16,29.6,0.40,0.40
1991-07-17,30.0,0.10,0.10
1991-07-18,30.1,0.00,0.00
1991-07-19,30.1,0.20,0.20
1991-07-20,30.3,0.60,0.60
1991-07-21,30.9,0.00,0.00
1991-07-22,30.9,0.30,0.30
1991-07-23,31.2,0.00,0.00
1991-07-24,31.2,0.20,0.20
1991-07-25,31.4,0.30,0.30
1991-07-26,31.7,0.00,0.00
1991-07-27,31.7,0.10,0.10
1991-07-28,31.8,0.00,0.00
1991-07-29,31.8,0.00,0.00
1991-07-30,31.8,0.00,0.00
1991-07-31,31.8,0.00,0.00
1991-08-01,31.8,0.20,0.20
1991-08-02,32.0,0.10,0.10
1991-08-03,32.1,0.40,0.40
1991-08-04,32.5,0.10,0.10
1991-08-05,32.6,0.00,0.00
1991-08-06,32.6,0.00,0.00
1991-08-07,32.6,0.00,0.00
1991-08-08,32.6,0.00,0.00
1991-08-09,32.6,0.10,0.10
1991-08-10,32.7,0.10,0.10
1991-08-11,32.8,0.20,0.20
1991-08-12,33.0,0.10,0.10
1991-08-13,33.1,0.00,0.00
1991-08-14,33.1,0.00,0.00
1991-08-15,33.1,0.10,0.10
1991-08-16,33.2,0.10,0.10
1991-08-17,33.3,0.00,0.00
1991-08-18,33.3,0.00,0.00
1991-08-19,33.3,0.10,0.10
1991-08-20,33.4,0.00,0.00
1991-08-21,33.4,0.00,0.00
1991-08-22,33.4,0.00,0.00
1991-08-23,33.4,0.00,0.00
1991-08-24,33.4,0.10,0.10
1991-08-25,33.5,0.00,0.00
1991-08-26,33.5,0.10,0.10
1991-08-27,33.6,0.00,0.00
1991-08-28,33.6,0.00,0.00
1991-08-29,33.6,0.00,0.00
1991-08-30,33.6,0.00,0.00
1991-08-31,33.6,0.00,0.00
1991-09-01,33.6,0.10,0.10
1991-09-02,33.7,0.00,0.00
1991-09-03,33.7,0.00,0.00
1991-09-04,33.7,0.00,0.00
1991-09-05,33.7,0.00,0.00
1991-09-06,33.7,0.30,0.30
1991-09-07,34.0,0.80,0.80
1991-09-08,34.8,0.10,0.10
1991-09-09,34.9,0.20,0.20
1991-09-10,35.1,0.10,0.10
1991-09-11,35.2,0.20,0.20
1991-09-12,35.4,0.00,0.00
1991-09-13,35.4,0.10,0.10
1991-09-14,35.5,0.50,0.50
1991-09-15,36.0,0.00,0.00
1991-09-16,36.0,0.00,0.00
1991-09-17,36.0,0.00,0.00
1991-09-18,36.0,0.00,0.00
1991-09-19,36.0,0.00,0.00
1991-09-20,36.0,0.00,0.00
1991-09-21,36.0,0.00,0.00
1991-09-22,36.0,0.00,0.00
1991-09-23,36.0,0.00,0.00
1991-09-24,36.0,0.00,0.00
1991-09-25,36.0,0.00,0.00
1991-09-26,36.0,0.00,0.00
1991-09-27,36.0,0.00,0.00
1991-09-28,36.0,0.00,0.00
1991-09-29,36.0,0.00,0.00
1991-09-30,36.0,0.00,0.00
1991-10-01,0.0,0.00,0.00
1991-10-02,0.0,0.00,0.00
1991-10-03,0.0,0.00,0.00
1991-10-04,0.0,0.00,0.00
1991-10-05,0.0,0.00,0.00
1991-10-06,0.0,0.00,0.00
1991-10-07,0.0,0.00,0.00
1991-10-08,0.0,0.00,0.00
1991-10-09,0.0,0.00,0.00
1991-10-10,0.0,0.00,0.00
1991-10-11,0.0,0.00,0.00
1991-10-12,0.0,0.00,0.00
1991-10-13,0.0,0.00,0.00
1991-10-14,0.0,0.00,0.00
1991-10-15,0.0,0.00,0.00
1991-10-16,0.0,0.00,0.00
1991-10-17,0.0,0.00,0.00
1991-10-18,0.0,0.00,0.00
1991-10-19,0.0,0.00,0.00
1991-10-20,0.0,0.00,0.00
1991-10-21,0.0,0.00,0.00
1991-10-22,0.0,0.00,0.00
1991-10-23,0.0,0.30,0.30
1991-10-24,0.3,0.90,0.90
1991-10-25,1.2,0.40,0.40
1991-10-26,1.6,0.00,0.00
1991-10-27,1.6,0.20,0.20
1991-10-28,1.8,0.20,0.20
1991-10-29,2.0,0.20,0.20
1991-10-30,2.2,0.20,0.20
1991-10-31,2.4,0.00,0.00
1991-11-01,2.4,0.40,0.40
1991-11-02,2.8,0.00,0.00
1991-11-03,2.8,0.00,0.00
1991-11-04,2.8,0.10,0.10
1991-11-05,2.9,0.00,0.00
1991-11-06,2.9,0.70,0.70
1991-11-07,3.6,0.00,0.00
1991-11-08,3.6,0.00,0.00
1991-11-09,3.6,0.00,0.00
1991-11-10,3.6,0.20,0.20
1991-11-11,3.8,0.00,0.00
1991-11-12,3.8,0.00,0.00
1991-11-13,3.8,0.00,0.00
1991-11-14,3.8,0.30,0.30
1991-11-15,4.1,0.00,0.00
1991-11-16,4.1,0.10,0.10
1991-11-17,4.2,0.40,0.50
1991-11-18,4.6,0.60,0.70
1991-11-19,5.2,0.00,0.00
1991-11-20,5.2,0.10,0.10
1991-11-21,5.3,0.10,0.10
1991-11-22,5.4,0.00,0.00
1991-11-23,5.4,0.00,0.10
1991-11-24,5.4,0.20,0.20
1991-11-25,5.6,0.10,0.20
1991-11-26,5.7,0.10,0.10
1991-11-27,5.8,0.10,0.10
1991-11-28,5.9,0.10,0.10
1991-11-29,6.0,0.30,0.40
1991-11-30,6.3,0.10,0.20
1991-12-01,6.4,0.10,0.10
1991-12-02,6.5,0.20,0.20
1991-12-03,6.7,0.00,0.30
1991-12-04,6.7,0.00,0.00
1991-12-05,6.7,0.10,0.10
1991-12-06,6.8,0.00,0.00
1991-12-07,6.8,0.00,0.20
1991-12-08,6.8,0.00,0.00
1991-12-09,6.8,0.00,0.00
1991-12-10,6.8,0.00,0.00
1991-12-11,6.8,0.50,0.50
1991-12-12,7.3,0.00,0.00
1991-12-13,7.3,0.00,0.00
1991-12-14,7.3,0.00,0.00
1991-12-15,7.3,0.00,0.00
1991-12-16,7.3,0.00,0.20
1991-12-17,7.3,0.00,0.10
1991-12-18,7.3,0.30,0.30
1991-12-19,7.6,0.00,0.00
1991-12-20,7.6,0.00,0.00
1991-12-21,7.6,0.00,0.00
1991-12-22,7.6,0.00,0.00
1991-12-23,7.6,0.00,0.10
1991-12-24,7.6,0.00,0.00
1991-12-25,7.6,0.00,0.00
1991-12-26,7.6,0.00,0.00
1991-12-27,7.6,0.00,0.00
1991-12-28,7.6,0.00,0.00
1991-12-29,7.6,0.10,0.10
1991-12-30,7.7,0.00,0.20
1991-12-31,7.7,0.10,0.30
1992-01-01,7.8,0.00,0.00
1992-01-02,7.8,0.00,0.00
1992-01-03,7.8,0.10,0.40
1992-01-04,7.9,0.20,0.20
1992-01-05,8.1,0.00,0.00
1992-01-06,8.1,0.40,0.50
1992-01-07,8.5,0.40,0.60
1992-01-08,8.9,0.00,0.10
1992-01-09,8.9,0.00,0.00
1992-01-10,8.9,0.10,0.10
1992-01-11,9.0,0.00,0.00
1992-01-12,9.0,0.00,0.40
1992-01-13,9.0,0.10,0.20
1992-01-14,9.1,0.10,0.10
1992-01-15,9.2,0.00,0.20
1992-01-16,9.2,0.00,0.00
1992-01-17,9.2,0.00,0.00
1992-01-18,9.2,0.00,0.00
1992-01-19,9.2,0.00,0.00
1992-01-20,9.2,0.00,0.00
1992-01-21,9.2,0.00,0.00
1992-01-22,9.2,0.00,0.00
1992-01-23,9.2,0.00,0.00
1992-01-24,9.2,0.00,0.00
1992-01-25,9.2,0.00,0.00
1992-01-26,9.2,0.00,0.00
1992-01-27,9.2,0.00,0.00
1992-01-28,9.2,0.00,0.00
1992-01-29,9.2,0.00,0.00
1992-01-30,9.2,0.10,0.10
1992-01-31,9.3,0.00,0.10
1992-02-01,9.3,0.00,0.00
1992-02-02,9.3,0.00,0.00
1992-02-03,9.3,0.00,0.00
1992-02-04,9.3,0.00,0.00
1992-02-05,9.3,0.00,0.00
1992-02-06,9.3,0.00,0.00
1992-02-07,9.3,0.00,0.00
1992-02-08,9.3,0.10,0.10
1992-02-09,9.4,0.10,0.10
1992-02-10,9.5,0.00,0.20
1992-02-11,9.5,0.30,0.30
1992-02-12,9.8,0.00,0.10
1992-02-13,9.8,0.70,0.70
1992-02-14,10.5,0.00,0.40
1992-02-15,10.5,0.00,0.10
1992-02-16,10.5,0.40,0.40
1992-02-17,10.9,0.10,0.20
1992-02-18,11.0,0.00,0.00
1992-02-19,11.0,0.00,0.10
1992-02-20,11.0,0.40,0.50
1992-02-21,11.4,0.00,0.00
1992-02-22,11.4,0.20,0.30
1992-02-23,11.6,0.00,0.10
1992-02-24,11.6,0.10,0.40
1992-02-25,11.7,0.00,0.00
1992-02-26,11.7,0.00,0.00
1992-02-27,11.7,0.10,0.10
1992-02-28,11.8,0.00,0.00
1992-02-29,11.8,0.00,0.00
1992-03-01,11.8,0.10,0.10
1992-03-02,11.9,0.00,0.00
1992-03-03,11.9,0.40,0.40
1992-03-04,12.3,0.90,1.30
1992-03-05,13.2,0.20,0.20
1992-03-06,13.4,0.00,0.00
1992-03-07,13.4,0.10,0.10
1992-03-08,13.5,0.40,0.40
1992-03-09,13.9,0.00,0.00
1992-03-10,13.9,0.10,0.10
1992-03-11,14.0,0.00,0.00
1992-03-12,14.0,0.10,0.10
1992-03-13,14.1,0.00,0.00
1992-03-14,14.1,0.00,0.00
1992-03-15,14.1,0.00,0.00
1992-03-16,14.1,0.00,0.00
1992-03-17,14.1,0.20,0.20
1992-03-18,14.3,0.20,0.50
1992-03-19,14.5,0.10,0.10
1992-03-20,14.6,0.00,0.20
1992-03-21,14.6,0.60,0.60
1992-03-22,15.2,0.20,0.30
1992-03-23,15.4,0.20,0.20
1992-03-24,15.6,0.10,0.10
1992-03-25,15.7,0.10,0.10
1992-03-26,15.8,0.10,0.50
1992-03-27,15.9,0.80,0.80
1992-03-28,16.7,0.50,0.50
1992-03-29,17.2,0.10,0.30
1992-03-30,17.3,0.00,0.00
1992-03-31,17.3,0.00,0.00
1992-04-01,17.3,0.00,0.00
1992-04-02,17.3,0.00,0.00
1992-04-03,17.3,0.10,0.10
1992-04-04,17.4,0.00,0.00
1992-04-05,17.4,0.10,0.10
1992-04-06,17.5,0.00,0.00
1992-04-07,17.5,0.00,0.00
1992-04-08,17.5,0.00,0.00
1992-04-09,17.5,0.00,0.00
1992-04-10,17.5,0.00,0.00
1992-04-11,17.5,0.00,0.00
1992-04-12,17.5,0.00,0.00
1992-04-13,17.5,0.00,0.00
1992-04-14,17.5,0.10,0.10
1992-04-15,17.6,0.30,0.30
1992-04-16,17.9,0.40,0.60
1992-04-17,18.3,0.50,0.50
1992-04-18,18.8,0.20,0.20
1992-04-19,19.0,0.00,0.00
1992-04-20,19.0,0.10,0.10
1992-04-21,19.1,0.10,0.10
1992-04-22,19.2,0.30,0.30
1992-04-23,19.5,0.00,0.00
1992-04-24,19.5,0.00,0.00
1992-04-25,19.5,0.00,0.00
1992-04-26,19.5,0.00,0.00
1992-04-27,19.5,0.00,0.00
1992-04-28,19.5,0.00,0.00
1992-04-29,19.5,0.00,0.00
1992-04-30,19.5,0.00,0.00
1992-05-01,19.5,0.00,0.00
1992-05-02,19.5,0.00,0.00
1992-05-03,19.5,0.00,0.00
1992-05-04,19.5,0.00,0.00
1992-05-05,19.5,0.00,0.00
1992-05-06,19.5,0.00,0.00
1992-05-07,19.5,0.00,0.00
1992-05-08,19.5,0.00,0.00
1992-05-09,19.5,0.40,0.40
1992-05-10,19.9,0.00,0.00
1992-05-11,19.9,0.10,0.10
1992-05-12,20.0,0.10,0.10
1992-05-13,20.1,0.00,0.00
1992-05-14,20.1,0.00,0.00
1992-05-15,20.1,0.00,0.00
1992-05-16,20.1,0.00,0.00
1992-05-17,20.1,0.00,0.00
1992-05-18,20.1,0.00,0.00
1992-05-19,20.1,0.00,0.00
1992-05-20,20.1,0.20,0.20
1992-05-21,20.3,0.10,0.10
1992-05-22,20.4,0.00,0.00
1992-05-23,20.4,0.00,0.00
1992-05-24,20.4,0.10,0.10
1992-05-25,20.5,0.10,0.10
1992-05-26,20.6,1.20,1.20
1992-05-27,21.8,0.40,0.40
1992-05-28,22.2,0.20,0.20
1992-05-29,22.4,0.00,0.00
1992-05-30,22.4,0.10,0.10
1992-05-31,22.5,0.10,0.10
1992-06-01,22.6,0.00,0.00
1992-06-02,22.6,0.00,0.00
1992-06-03,22.6,0.00,0.00
1992-06-04,22.6,0.10,0.10
1992-06-05,22.7,0.20,0.20
1992-06-06,22.9,0.30,0.30
1992-06-07,23.2,0.00,0.00
1992-06-08,23.2,0.00,0.00
1992-06-09,23.2,0.30,0.30
1992-06-10,23.5,0.00,0.00
1992-06-11,23.5,0.00,0.00
1992-06-12,23.5,0.00,0.00
1992-06-13,23.5,0.00,0.00
1992-06-14,23.5,0.00,0.00
1992-06-15,23.5,0.10,0.10
1992-06-16,23.6,0.00,0.00
1992-06-17,23.6,0.00,0.00
1992-06-18,23.6,0.00,0.00
1992-06-19,23.6,0.00,0.00
1992-06-20,23.6,0.00,0.00
1992-06-21,23.6,0.00,0.00
1992-06-22,23.6,0.00,0.00
1992-06-23,23.6,0.00,0.00
1992-06-24,23.6,0.20,0.20
1992-06-25,23.8,0.00,0.00
1992-06-26,23.8,0.10,0.10
1992-06-27,23.9,0.10,0.10
1992-06-28,24.0,0.00,0.00
1992-06-29,24.0,0.00,0.00
1992-06-30,24.0,0.00,0.00
1992-07-01,24.0,0.00,0.00
1992-07-02,24.0,0.00,0.00
1992-07-03,24.0,0.00,0.00
1992-07-04,24.0,0.00,0.00
1992-07-05,24.0,0.00,0.00
1992-07-06,24.0,0.00,0.00
1992-07-07,24.0,0.30,0.30
1992-07-08,24.3,0.90,0.90
1992-07-09,25.2,0.00,0.00
1992-07-10,25.2,0.00,0.00
1992-07-11,25.2,0.30,0.30
1992-07-12,25.5,0.30,0.30
1992-07-13,25.8,0.00,0.00
1992-07-14,25.8,0.00,0.00
1992-07-15,25.8,0.00,0.00
1992-07-16,25.8,0.00,0.00
1992-07-17,25.8,0.00,0.00
1992-07-18,25.8,0.00,0.00
1992-07-19,25.8,0.00,0.00
1992-07-20,25.8,0.10,0.10
1992-07-21,25.9,0.00,0.00
1992-07-22,25.9,0.00,0.00
1992-07-23,25.9,0.20,0.20
1992-07-24,26.1,0.40,0.40
1992-07-25,26.5,0.00,0.00
